CEP	MODALIDADE DE RISCO	Escore	ESTADO	MUNICÍPIO	BAIRRO	"AEROPORTO - PORTO - RODOVIÁRIA - FAVELA - PRESÍDIO -
PAÍS(ES) FRONTEIRIÇO(S)"	LINK GOOGLE MAPS													
02055-100	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02056-000	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02056-010	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02056-020	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02056-030	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02056-040	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02056-050	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02056-060	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02056-070	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02056-080	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02060-000	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02060-001	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02060-010	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02060-020	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02060-030	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02060-040	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02060-050	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02060-060	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02060-065	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02060-070	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02060-080	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02060-085	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02060-100	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02060-120	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
